id,category,top,ModelName,title,brand,price,color,description,photos
0,Laptop,supercharged for pros,2021 Apple MacBook Pro,"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 10‑core CPU and 16‑core GPU, 16GB RAM, 1TB SSD) - Space Gray",Apple,2400,grey,"Apple M1 Pro or M1 Max chip for a massive leap in CPU, GPU, and machine learning performance
Up to 10-core CPU delivers up to 3.7x faster performance to fly through pro workflows quicker than ever
Up to 32-core GPU with up to 13x faster performance for graphics-intensive apps and games
16-core Neural Engine for up to 11x faster machine learning performance
Longer battery life, up to 17 hours
Up to 64GB of unified memory so everything you do is fast and fluid
Up to 8TB of superfast SSD storage launches apps and opens files in an instant
Stunning 14-inch Liquid Retina XDR display with extreme dynamic range and contrast ratio
1080p FaceTime HD camera with advanced image signal processor for sharper video calls
Six-speaker sound system with force-cancelling woofers","[""https:\/\/m.media-amazon.com\/images\/I\/61vFO3R5UNL._AC_SL1500_.jpg"",""https:\/\/m.media-amazon.com\/images\/I\/71YhRQy50oL._AC_SL1500_.jpg"",""https:\/\/m.media-amazon.com\/images\/I\/61JqllsE+DL._AC_SL1500_.jpg"",""https:\/\/m.media-amazon.com\/images\/I\/81wxI2w9K9L._AC_SL1500_.jpg""]"
1,Laptop,Everyday laptops for first-time users,Acer Aspire 5,Acer Aspire 5 A515-46-R3UB,Acer,369.99,Silver,"Powerful Productivity: AMD Ryzen 3 3350U delivers desktop-class performance and amazing battery life in a slim notebook. With Precision Boost, get up to 3.5GHz for your high-demand applications
Maximized Visuals: See even more on the stunning 15.6"" Full HD display with 82.58% screen-to-body, 16:9 aspect ratio and narrow bezels
Backlit Keyboard and Fingerprint Reader: Biometric fingerprint reader and Windows Hello sign-in options help keep your Acer PC secure
Internal Specifications: 4GB DDR4 on-board memory (1 slot available); 128GB NVMe solid-state drive storage (1 hard drive bay available) to store your files and media","[""https:\/\/m.media-amazon.com\/images\/I\/7189iXimfWL._AC_SL1500_.jpg"",""https:\/\/m.media-amazon.com\/images\/I\/717-6cnCAmL._AC_SL1500_.jpg"",""https:\/\/m.media-amazon.com\/images\/I\/81hf1300BkL._AC_SL1500_.jpg"",""https:\/\/m.media-amazon.com\/images\/I\/51b2xaZY4TL._AC_SL1500_.jpg""]"
2,Laptop,Everyday laptops for first-time users,Acer Nitro 5 Laptop,Acer Nitro 5 AN515-55-53E5 Gaming Laptop,Acer,799.99,Black,"Dominate the Game: With the 10th Gen Intel Core i5-10300H processor, your Nitro 5 is packed with incredible power for all your games
RTX, It's On: The latest NVIDIA GeForce RTX 3050 (4GB dedicated GDDR6 VRAM) is powered by award-winning architecture with new Ray Tracing Cores, Tensor Cores, and streaming multiprocessors support DirectX 12 Ultimate for the ultimate gaming performance
Visual Intensity: Explore game worlds in Full HD detail on the 15.6"" widescreen LED-backlit IPS display with 1920 x 1080 resolution, 144Hz refresh rate and 80% screen-to-body, 16:9 aspect ratio
Internal Specifications: 8GB DDR4 2933MHz Memory (2 DDR4 Slots Total, Maximum 32GB); 256GB NVMe SSD (2 x PCIe M.2 Slots, 1 x 2.5"" Hard Drive Bay Available)","[""https:\/\/m.media-amazon.com\/images\/I\/81bc8mA3nKL._AC_SL1500_.jpg"",""https:\/\/m.media-amazon.com\/images\/I\/81-ewHA1m9L._AC_SL1500_.jpg"",""https:\/\/m.media-amazon.com\/images\/I\/814WAVCvlrS._AC_SL1500_.jpg"",""https:\/\/m.media-amazon.com\/images\/I\/811527le2uS._AC_SL1500_.jpg""]"
3,Desktop,iBUYPOWER is the ideal shop for you,IBuyPower  Gaming PC,IBuyPower SlateMono 237i MC Gaming PC,iBUYPOWER ,1999.99,Black,"Intel Core i7 12th Gen 12700KF 3.6GHz Processor
NVIDIA GeForce RTX 3070Ti
16GB DDR4-3200 RAM
1TB Solid State Drive
Microsoft Windows 11 Pro
Wi-Fi 6
Bluetooth 5.2
240MM Liquid Cooling","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/646744_373647_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/646744_373647_04_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/646744_373647_05_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/646744_373647_06_package_zoom.jpg""]"
4,Desktop,AN EXCLUSIVE PLATINUM COLLECTION ITEM!,ASUS ROG Gaming PC,ASUS ROG Strix GA35 GA35DX-MB776 Gaming PC,ASUS,2149.99,Black,"AMD Ryzen 7 5800X 3.8GHz Processor
NVIDIA GeForce RTX 3070 8GB GDDR6
32GB DDR4-3200 LO-DIMM RAM
1TB Solid State Drive
Microsoft Windows 10 Pro
2x2 Wi-Fi 6 (802.11ax)+Bluetooth 5.0
240mm Liquid Cooler","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/644238_347922_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/644238_347922_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/644238_347922_04_package_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/644238_347922_04_front_zoom.jpg""]"
5,Desktop,A powerful desktop ready for multithreaded performance,Dell Alienware Gaming PC,Dell Alienware Aurora Ryzen Edition R14 Gaming PC,Dell,2899.99,Black,"AMD Ryzen 9 5900X 3.7GHz Processor
NVIDIA GeForce RTX 3080 Ti 12GB GDDR6X
32GB DDR4-3466 RAM
1TB Solid State Drive
Microsoft Windows 11 Pro
10/100/1000 Network
MediaTek MT7921 Wi-Fi 6 (2x2) MIMO 802.11ax Wireless LAN and Bluetooth 5.2","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/645700_362764_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/645700_362764_07_package_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/645700_362764_05_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/645700_362764_07_package_zoom.jpg""]"
6,Monitors,the speed you need,ASUS 75Hz LED Monitor,"ASUS VP248QG 24"" Full HD (1920 x 1080) 75Hz LED Monitor",ASUS,159.99,Black,"FreeSync
HDMI DisplayPort
Blue Light Filter
Flicker-Free","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/512419_217794_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/512419_217794_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/512419_217794_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/512419_217794_04_front_zoom.jpg""]"
7,Monitors,the best performance of PC components,,"Gigabyte G34WQC  34"" 2K QHD (3440 x 1440) 144Hz UltraWide Screen Gaming Monitor",Gigabyte,1299.99,Black,"FreeSync
HDR
HDMI, DisplayPort
Flicker-Free
Blue Light Filter","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/648307_389940_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/648307_389940_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/648307_389940_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/648307_389940_04_front_zoom.jpg""]"
8,Monitors,See your way to victory,LG  144Hz Gaming Monitor,"LG Ultragear 27GL83A-B.AUS 27"" 2K WQHD (2560 x 1440) 144Hz Gaming Monitor",LG,279.99,Black,"FreeSync / G-Sync Compatible
HDMI DisplayPort
3-Sided Frameless
See your way to victory ","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/634763_243444_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/634763_243444_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/634763_243444_05_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/634763_243444_06_front_zoom.jpg""]"
9,Graphic_Cards,powerful in every way imaginable,NVIDIA GeForce RTX 3090  Graphics Card,EVGA NVIDIA GeForce RTX 3090 FTW3 Ultra Triple-Fan 24GB GDDR6X PCIe 4.0 Graphics Card,NVIDIA,1919.99,Black,"The EVGA GeForce RTX 3090 is colossally powerful in every way imaginable, giving you a whole new tier of performance at 8K resolution. It's powered by the NVIDIA Ampere architecture, which doubles down on ray tracing and AI performance with enhanced RT Cores, Tensor Cores, and new streaming multiprocessors. Combined with the next generation of design, cooling, and overclocking with EVGA Precision X1, the EVGA GeForce RTX 3090 Series redefines the definition of ultimate performance.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/628738_177923_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/628738_177923_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/628738_177923_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/628738_177923_04_package_zoom.jpg""]"
10,Graphic_Cards,designed for compact gaming builds,NVIDIA GeForce RTX 3060 Ti Graphics Card,ASUS NVIDIA GeForce RTX 3060 Ti V2 Mini LHR Overclocked Dual-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,NVIDIA,499.99,Black,"The Dual GeForce RTX 3060 Ti MINI Graphics Card is designed for compact gaming builds and the Intel NUC 9. Features like the Axial-tech fan design, a custom 2-slot thermal solution, and Auto-Extreme Technology make the MINI an obvious choice for those who want an SFF system capable of rivalling the graphics performance of full-sized builds and burly desktops.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/641433_319236_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/641433_219236_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/641433_219236_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/641433_319236_03_front_zoom.jpg""]"
11,Graphic_Cards,the best alternative to greedy nvidia,AMD Radeon RX 6700 XT  Graphics Card,PowerColor AMD Radeon RX 6700 XT Fighter Dual-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,AMD,429.99,Black,"Core Clock Speed :1280MHz
Boost Core Clock Speed:1620MHz
Video Memory: 6 GB
Memory Type: GDDR6
Memory Bus: 192-bit","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/635137_247940_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/635137_247940_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/635137_247940_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/635137_247940_04_package_zoom.jpg""]"